Site Name,Address,City,ZIP Code,Siren,Radius,Mounted Height,Land Use Description,Mapped Location
Cumberland Elementary,4247 CATO RD,NASHVILLE,37218,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.866501 36.212523)
Riverfront Park,100 1ST AVE S,NASHVILLE,37201,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.773944 36.162191)
Parkwood Park,3220 VAILVIEW DR,NASHVILLE,37207,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.772688 36.235403)
Ruby Major Elementary,5141 JOHN HAGAR RD,HERMITAGE,37076,Eclipse 8,4400,50,VACANT RESIDENTIAL LAND,POINT (-86.579075 36.1575)
West Meade Elementary,6401 HARDING PIKE,NASHVILLE,37205,Eclipse 8,4400,50,CHURCH,POINT (-86.893443 36.0929)
Shayne Elementary,6211 NOLENSVILLE PIKE,NASHVILLE,37211,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.711132 36.020026)
Cane Ridge Park,419 BATTLE RD,ANTIOCH,37013,508,14700,50,PARK OR RECREATION,POINT (-86.624219 35.987531)
Margret Allen Elementary,500 SPENCE LN,NASHVILLE,37210,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.722286 36.145235)
Fire Station 10,15530 OLD HICKORY BLVD,NASHVILLE,37211,508,14700,50,FIRE STATION,POINT (-86.74065 36.040116)
Briarville Rd.,BRIARVILLE RD CULDESAC,NASHVILLE,37115,508,14700,50,RIGHT OF WAY,POINT (-86.736018 36.246199)
Tom Joy Elementary,2201 JONES AVE,NASHVILLE,37207,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.756984 36.208706)
Whitsett Elementary,110 WHITSETT RD,NASHVILLE,37210,Eclipse 8,4400,50,VACANT COMMERCIAL LAND,POINT (-86.737094 36.114779)
STEM Academy,1134 MENZLER RD,NASHVILLE,37210,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.740627 36.13024)
Antioch High School,1900 HOBSON PIKE,ANTIOCH,37013,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.600296 36.045704)
Percy Warner Park,11 INVERARAY,NASHVILLE,37215,508,14700,50,"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK",POINT (-86.869102 36.081784)
Liberty Collegiate Academy Middle School,3515 GALLATIN PIKE,NASHVILLE,37216,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.732971 36.212689)
Fire Station 22,2781 PENNINGTON BEND RD,NASHVILLE,37214,508,14700,50,FIRE STATION,POINT (-86.688021 36.216896)
Paragon Mills Park,465 BENITA DR,NASHVILLE,37211,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.715046 36.09466)
West Park,6109 MORROW RD,NASHVILLE,37209,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.864118 36.162714)
Nashville Fairgrounds,300 RAINS AVE,NASHVILLE,37203,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.766859 36.131634)
Granny White Pike,GRANNY WHITE PK & OTTER CREEK DR,NASHVILLE,37220,508,14700,50,RIGHT OF WAY,POINT (-86.813182 36.065627)
Parmer Park,300 LEAKE AVE,NASHVILLE,37205,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.860037 36.103729)
